source,target
"Не требуя для себя ничего, в конце сказки он за свою доброту и бескорыстие получает царскую (см. царь) дочь в жёны и полцарства в придачу.",В конце сказки он женится на царской дочери и получает половину царства. 
Из народной сказки образ Иванушки-дурачка перешёл в авторскую. ,Из народных сказок герой перешёл в литературные. 
Среди них: Спасибо деду за Победу! ,Среди них: Спасибо деду за Победу! 
"Многие строки романа хорошо известны русским, их часто цитируют и выбирают в качестве эпиграфа или названия газетных статей. ","Русские хорошо знают многие строки из романа, выбирают их для эпиграфа или названия статьи, используют в разговоре. "
"В Золотой век Таганки (с 1964 по 1981 год) достать билеты в театр было крайне трудно, в зале никогда не было свободных мест. ",В Золотой век Таганки (с 1964 по 1981 год) купить билеты в театр было очень трудно. 
Расположен на северо-западе Европейской части России на р. ,Город на северо-западе Европейской части России у Балтийского моря на реке Неве.
"В быту  «девочкой с персиками» могут назвать  миловидную розовощёкую  девочку, в глазах и на лице которой  отражается радость жизни.","В быту  «девочкой с персиками» могут назвать  миловидную розовощёкую  девочку, в глазах и на лице которой  отражается радость жизни."
"Колобку удаётся убежать от всех, кроме лисы, которая оказалась хитрее Колобка и съела его.","Колобок убегает от всех, кроме лисы. "
"Главными героями новогоднего праздника с конца ХIХ в. стали сказочные персонажи – Дед Мороз и его внучка Снегурочка, которые приходят под Новый год с поздравлениями и подарками, в первую очередь – детям.",Главными героями новогоднего праздника с конца ХIХ в. стали сказочные персонажи – Дед Мороз и его внучка Снегурочка. 
"Все фильмы представляют собой забавные истории о том, как друзья помогают друг другу решать любые проблемы.",В них друзья помогают друг другу решать любые проблемы.
"Поэтому неудивительно, что самого баснописца русские называют дедушка Крылов (так поэт П.А. ","Баснописца знают и любят в России и сегодня,называют «дедушка Крылов».Многие строчки его басен стали крылатыми словами."
На картине изображена окраина небольшого города средней полосы России ранней весной. ,На картине изображены окраины небольшого города средней полосы России ранней весной. 
"Каждый год в день рождения поэта, 6 июня, любители творчества Пушкина собираются в Москве у его памятника на Пушкинской площади и читают стихи. ","6 июня, в день рождения Пушкина, в России отмечают День русского языка. "
"Выражение девятый вал означает что-то роковое, угрожающее опасностью, с чем невозможно бороться. ","Выражение девятый вал означает что-то очень опасное, с чем невозможно бороться. "
"Зимние (см. зима) сапоги, сделанные из плотно сбитой шерсти.","Зимние (см. зима) сапоги, сделанные из плотно сбитой шерсти."
По сказке Островского Н.А. ,По сказке Островского Н.А. 
Она знает язык животных и растений. ,Она знает язык животных и растений. 
Картина получила широкую известность после появления её репродукции на фантиках  шоколадных конфет «Мишка косолапый» (начало ХХ века).,Картина получила широкую известность после появления её репродукции на фантиках шоколадных конфет «Мишка косолапый» (начало ХХ века).
Похоронен в Москве на Новодевичьем кладбище.,Похоронен в Москве.
Тема Великой Отечественной войны до сих пор остаётся одной из главных в русской литературе. ,Слово война русские часто употребляют как синоним Великой Отечественной войны. 
"Онегин, уставший к этому времени от романов, не ответил Татьяне взаимностью. ",К этому времени он уже устал от романов.
"К празднику подводились итоги работы, пускались в строй промышленные объекты, сдавались новые жилые дома; после зимнего перерыва открывались парки, включались фонтаны. ","К празднику подводили итоги работы,  после зимы начинали работать парки и фонтаны. "
"Сумарокова (первого директора театра), комедии И.А. ",Сумароков. 
Картина относится к числу самых известных произведений русской живописи и полотен художника.,Картина относится к числу самых известных произведений русской живописи и полотен художника.
"На втором плане – Христос, который, по преданию, появился на холме в тот момент, когда крещеные люди выходили из воды. ","На втором плане на холме – Христос, который появился в тот момент, когда крещеные люди выходили из воды."
"При церквах и соборах находятся колокольни (см. колокол), стоящие перед ними или архитектурно объединенные с ними в одно целое.",При храме находится колокольня (см. колокол). 
"Пушкина – одного из крупнейших музеев зарубежного изобразительного искусства в России, второго по значимости после Эрмитажа.",В наше время в музее регулярно проходят выставки шедевров зарубежного изобразительного искусства и ежегодный
Полное издание романа было выпущено в 1833 г.,В 1833 г. роман был опубликован.
Размеры 540 х 750 см.,Размеры 540 х 750 см.
