source,cos_sim,target,level
Ну что ж. ,1.0,Ну что ж. ,b2
"— Ах, только не мужем, с простою усмешкой сказала она. — Я не знаю, я не думаю о нем. ",0.8630036977678716,"— Ах, только не мужем, — с простою усмешкой сказала она. — Я не думаю о нём. ",b1
"Мне скоро шестьдесят, я старик, одинокий, ничтожный старик… Ничего во мне нет хорошего, кроме этой любви к вам, и если бы не вы, то я бы давно уже не жил на свете… (Ирине.) ",0.6533175372010995,"Ничего во мне нет хорошего, кроме этой любви к вам, и если бы не вы, то я бы давно уже не жил на свете... ",b2
Да! ,0.09373921468688015,Обстановочка-то какова! ,a2_b1
"Я вполне уверен, что вы раскаялись и раскаиваетесь в том, что служит поводом настоящего письма, и что вы будете содействовать мне в том, чтобы вырвать с корнем причину нашего раздора и забыть прошедшее. ",0.6218391754049089,"Я уверен, что вы раскаялись и будете содействовать мне забыть прошедшее. ",b1
За Урбенина? ,1.0,За Урбенина? ,b1
Что нам известно еще? ,0.2445245036563446,"Но имя мне известно, — ответил портье",b1
И оба пошли быстро.,0.8032020132806752,И они пошли быстро. ,b1
Большинство пожилых людей и люди высокопоставленные были недовольны этим готовящимся общественным скандалом.,0.8740043664763198,Большинство немолодых людей и людей высокопоставленных были недовольны этим готовящимся общественным скандалом. ,b1
— И тебя там опекал весь гарем? ,0.31176682159082353,— И гарем заботился о тебе? ,b1
"— Ты всегда так, — отвечала она, как будто совершенно не понимая его и изо всего того, что он сказал, умышленно понимая только последнее. — То тебе неприятно, что я скучна, то тебе неприятно, что я весела. ",0.8473725387606841,"— Ты всегда так, — отвечала она, как будто совершенно не понимая его. — То тебе неприятно, что я скучна, то тебе неприят но, что я весела.",b1
"Вероятно, вид этих напряженных рук, тех самых мускулов, которые он нынче утром ощупывал на гимнастике, и блестящих глаз, тихого голоса и дрожащих скул убедили Васеньку больше слов. ",0.3841260361945438,"Вероятно, вид Левина убедил Васеньку больше слов. ",b1
Не задавайте вопросов… Я устала.,0.6074109449610195,Не задавайте вопросов... ,b2
"— Нет, нет, еще прежде, там, на той стороне. ",0.6273111245801418,"— Нет, нет, ещё раньше, там, на той стороне. ",b1
"Если бы ты слышал как следует, то я, быть может, и не говорил бы с тобой. ",1.0,"Если бы ты слышал как следует, то я, быть может, и не говорил бы с тобой. ",b2
Но слово есть слово. ,0.9999999999999998,Но слово есть слово. ,b1
"Ты должен был просить их пожаловать сюда немедленно и узнать, когда именно они могут быть?",0.23086925073509532,Сергей должен был давать показания. ,b1
"— Но если Маклафлин не шпион, то куда же он делся? ",0.32390389574109535,"Убедился, что Маклафлин ни в чём не виноват. ",b1
"Было даже довольно малолюдно, сравнительно с прежними годичными собраниями в такие же дни. ",0.8433372222852293,"Было даже довольно малолюдно, сравнительно с прежними собраниями. ",b1
Это же дикость! ,0.14111084760530243,Это всё алкоголь! ,b1
Варя оглянулась на Шарля. ,0.704883622257188,Варя посмотрела на Шарля. ,b1
Больше в корчме никто в шапке не сидел. ,0.29575429126180763,"Надо сказать, что в трактире только она была в шапке. ",b1
"Ну, вот почти и все, что я хотел сказать; остается только сказать, что бы тогда было, если б вы меня полюбили, только это, больше ничего! ",0.9182331168029431,"Ну, вот почти и всё, что я хотел сказать; остаётся только сказать, что бы тогда было, если б вы меня полюбили, только это, больше ничего! ",b1
Душевный человек. ,0.2850145554420705,"Если кричишь, ругаешься, значит, ты большой и важный человек. ",b1
Поздно вечером я сидел у графа. ,0.550773846582427,Часть 22  Поздно вечером Сергей был у графа. ,b1
Эраст Петрович? ,0.3881185864133119,"Эраст Петрович, узнайте сегодня всё об этом деле. ",b1
"Муж ее через ложу стал говорить с ней, а Картасова сделала ему сцену. ",0.7326667154910431,"Муж её через ложу стал говорить с ней, а Картасова ушла. ",b1
О Настенька! ,0.8659862051474086,"«О Настенька, Настенька! ",b1
"Вместо лиц были какие-то рожи с кривыми ртами, приплюснутыми носами и с слишком прищуренными или неестественно выпученными глазами. ",0.05509599807826422,Шипучин. ,a2_b1
Уж это место мне мило. ,0.9999999999999998,Уж это место мне мило. ,b1
"Офицеры толпились вокруг Перепелкина, отмечавшего по карте продвижение поезда, и курили, корреспондент писал что-то в блокноте, а Варя с Соболевым стояли поодаль, у окна, и вели непростой разговор",0.3861961645197492,Варя с Соболевым стояли у окна. ,b1
"Андрей уходит в правую дверь к себе, Чебутыкин идет за ним; в зале прощаются.",0.963084771073492,"Андрей уходит в правую дверь к себе, Чебутыкин идёт за ним; в зале прощаются.",b2
"Говорят и пророчествуют, что ты придешь и вновь победишь, придешь со своими избранниками, со своими гордыми и могучими, но мы скажем, что они спасли лишь самих себя, а мы спасли всех. ",0.376265820093091,"Говорят, что ты придёшь и вновь победишь. ",b1_c1
Спорь с человеком умнее тебя: он тебя победит… но из самого твоего поражения ты можешь извлечь пользу для себя.,0.9270998115712125,Спорь с человеком умнее тебя: он тебя победит... но из самого твоего поражения ты можешь извлечь пользу для себя. ,b1_c1
Андрей машет рукой и отходит.,0.9999999999999996,Андрей машет рукой и отходит.,b2
"Она не соображала того, что его телеграмма была ответ на ее телеграмму и что он не получал еще ее записки. ",0.4196346988599636,— От кого телеграмма? ,b1
"— иронически спросил Соболев. — Ну, вошли бы русские воины в турецкую столицу, так что с того?",0.8350195953807683,"— иронично спросил Соболев. — Ну, вошли бы русские в турецкую столицу. ",b1
"- спросил вдруг князь. - Да что это, здесь все, что ли, в Павловск? ",0.7814527542571394,"— спросил вдруг князь. — Здесь все, что ли, в Павловск? ",b1
"– Решения, какого-нибудь решения, Алексей Александрович. ",0.7145985210533743,"— сказал он. — Решения какого-нибудь, Алексей Александрович. ",b1
"— Варя, Варенька! ",0.20218461809175492,— поинтересовалась Варя. ,b1
"— Так что, граф? ",0.2758774378906244,"— Так что, мой друг, вы хотите с ним сделать? ",b1
